product_id,sku,product_name,category,subcategory,price,cost,supplier_id,reorder_point,lead_time_days,is_active,is_seasonal,created_at,abc_classification,velocity_category
1,ELEC-CO-001,Wireless Mouse - Black,Electronics,Computer Accessories,374.65,168.59,SUP-FASHION-01,50,8,True,False,2023-12-08 12:04:49,A,medium
2,ELEC-CO-002,Mouse Pad - Black,Electronics,Computer Accessories,301.39,135.63,SUP-TECH-02,30,5,True,False,2024-05-31 12:04:49,A,slow
3,ELEC-CO-003,Mouse Pad - Black,Electronics,Computer Accessories,287.2,129.24,SUP-FASHION-02,100,13,True,False,2025-01-19 12:04:49,A,slow
4,ELEC-CO-004,Wireless Mouse - White,Electronics,Computer Accessories,353.6,159.12,SUP-FASHION-01,75,10,True,False,2024-11-20 12:04:49,A,medium
5,ELEC-CO-005,Wireless Mouse - Black,Electronics,Computer Accessories,199.26,89.67,SUP-IMPORT-01,75,10,True,False,2025-09-16 12:04:49,A,fast
6,ELEC-CO-006,Webcam - Green,Electronics,Computer Accessories,75.54,33.99,SUP-DIRECT-01,30,11,True,False,2024-01-26 12:04:49,B,fast
7,ELEC-CO-007,Mouse Pad - Blue,Electronics,Computer Accessories,295.02,132.76,SUP-FASHION-02,30,6,True,False,2025-08-10 12:04:49,A,fast
8,ELEC-CO-008,Keyboard - Black,Electronics,Computer Accessories,199.36,89.71,SUP-FASHION-01,75,12,True,False,2025-03-30 12:04:49,A,slow
9,ELEC-CO-009,USB Hub - Black,Electronics,Computer Accessories,310.43,139.69,SUP-FASHION-02,150,7,True,False,2024-10-07 12:04:49,A,medium
10,ELEC-CO-010,USB Hub - Green,Electronics,Computer Accessories,121.51,54.68,SUP-FASHION-02,30,10,True,False,2024-12-11 12:04:49,B,slow
11,ELEC-AU-011,Microphone - Blue,Electronics,Audio,47.1,21.2,SUP-FASHION-02,75,14,True,False,2024-09-20 12:04:49,C,fast
12,ELEC-AU-012,Microphone - White,Electronics,Audio,143.47,64.56,SUP-DIRECT-01,150,8,True,False,2024-03-11 12:04:49,A,slow
13,ELEC-AU-013,Microphone - Green,Electronics,Audio,208.71,93.92,SUP-DIRECT-01,50,8,True,False,2025-09-12 12:04:49,A,slow
14,ELEC-AU-014,Bluetooth Speaker - White,Electronics,Audio,319.31,143.69,SUP-TECH-02,150,11,True,False,2024-02-28 12:04:49,A,medium
15,ELEC-AU-015,Microphone - Green,Electronics,Audio,136.94,61.62,SUP-TECH-02,30,13,True,False,2024-04-29 12:04:49,B,fast
16,ELEC-AU-016,Earbuds - Blue,Electronics,Audio,69.1,31.09,SUP-GLOBAL-01,50,11,False,False,2025-02-03 12:04:49,C,fast
17,ELEC-AU-017,Sound Bar - White,Electronics,Audio,261.23,117.55,SUP-DIRECT-01,75,6,True,False,2025-05-27 12:04:49,A,medium
18,ELEC-AU-018,Earbuds - White,Electronics,Audio,276.6,124.47,SUP-IMPORT-01,30,13,True,False,2025-10-11 12:04:49,A,medium
19,ELEC-AU-019,Bluetooth Speaker - Blue,Electronics,Audio,441.18,198.53,SUP-TECH-01,50,9,True,False,2024-03-29 12:04:49,A,medium
20,ELEC-AU-020,Bluetooth Speaker - Black,Electronics,Audio,369.98,166.49,SUP-FASHION-01,150,6,True,False,2024-07-01 12:04:49,A,medium
21,ELEC-CA-021,Lens Kit - White,Electronics,Cameras,143.55,64.6,SUP-FASHION-02,100,14,True,False,2023-11-24 12:04:49,A,medium
22,ELEC-CA-022,Action Camera - Blue,Electronics,Cameras,208.51,93.83,SUP-DIRECT-01,100,10,True,False,2025-02-19 12:04:49,A,fast
23,ELEC-CA-023,Action Camera - Black,Electronics,Cameras,178.97,80.54,SUP-FASHION-02,150,14,True,False,2025-10-23 12:04:49,A,medium
24,ELEC-CA-024,Digital Camera - Black,Electronics,Cameras,126.04,56.72,SUP-TECH-02,75,5,True,False,2025-01-18 12:04:49,B,medium
